STS,DEST,Month,Flight No,Phân thị,Sector,A/C,Dow,Vị trí phân bổ,AC type,CW/ vị trí,Total CW,Net Rate ($),All in,Revenue,,,,,,,,,,,,,
CAN,CDG,JUN,VN011,Châu Âu,SGNCDG,350,D1,5,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,JUN,VN011,Châu Âu,SGNCDG,350,D2,6,1,500.00,"12,000.00",2.6,2.6,"31,200.00",,,,,,,,,,,,,
CAN,CDG,JUN,VN019,Châu Âu,HANCDG,350,D2,2,1,500.00,"2,000.00",2.6,2.6,"5,200.00",,,,,,,,,,,,,
CAN,CDG,JUN,VN011,Châu Âu,SGNCDG,350,D4,6,1,500.00,"12,000.00",2.6,2.6,"31,200.00",,,,,,,,,,,,,
CAN,CDG,JUN,VN019,Châu Âu,HANCDG,350,D5,1,1,500.00,"2,000.00",2.6,2.6,"5,200.00",,,,,,,,,,,,,
CAN,CDG,JUN,VN019,Châu Âu,HANCDG,350,D6,1,1,500.00,"2,000.00",2.6,2.6,"5,200.00",,,,,,,,,,,,,
CAN,CDG,JUN,VN011,Châu Âu,SGNCDG,350,D6,6,1,500.00,"12,000.00",2.6,2.6,"31,200.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN019,Châu Âu,HANCDG,350,D1,1,1,500.00,"2,000.00",2.6,2.6,"5,200.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN011,Châu Âu,SGNCDG,350,D1,6,1,500.00,"12,000.00",2.6,2.6,"31,200.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN011,Châu Âu,SGNCDG,350,D2,6,1,500.00,"15,000.00",2.6,2.6,"39,000.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN019,Châu Âu,HANCDG,350,D2,3,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN019,Châu Âu,HANCDG,350,D3,3,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN019,Châu Âu,HANCDG,350,D4,3,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN011,Châu Âu,SGNCDG,350,D4,4,1,500.00,"10,000.00",2.6,2.6,"26,000.00",,,,,,,,,,,,,
CAN,CDG,JUL,VN019,Châu Âu,HANCDG,350,D5,3,1,500.00,"6,000.00",2.6,2.6,"15,600.00",,,,,,,,,,,,,
